Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2024 United Cup RR,W vs Lehecka,25.0%,36.3%,60.3%,31.6%,28.6%,42.9%,62.9%,39.4%,50.0%,51.9%,100.0%,20.7%,27.6%,56.5%,19
2024 United Cup RR,W vs Zhang,32.6%,50.0%,70.0%,40.7%,42.9%,60.7%,75.0%,56.1%,36.4%,47.1%,-,17.6%,35.3%,64.3%,5
2023 Davis Cup RR,L vs Sinner,31.2%,44.2%,55.8%,37.8%,36.2%,55.3%,63.3%,47.0%,52.2%,45.8%,100.0%,24.1%,27.6%,45.5%,-29
2023 Tour Finals F,W vs Sinner,54.3%,60.9%,61.9%,60.2%,65.6%,75.0%,72.7%,74.1%,58.8%,46.7%,0.0%,28.6%,28.6%,50.0%,-79
2023 Tour Finals SF,W vs Alcaraz,34.5%,47.3%,60.0%,43.1%,43.2%,62.2%,66.7%,55.9%,40.0%,50.0%,100.0%,17.6%,17.6%,50.0%,5
2023 Tour Finals RR,W vs Hurkacz,27.2%,40.7%,65.5%,36.3%,33.3%,52.9%,61.8%,47.8%,68.2%,65.5%,-,17.2%,20.7%,70.8%,-29
2023 Tour Finals RR,L vs Sinner,44.0%,59.0%,52.7%,50.8%,57.1%,73.0%,55.6%,67.9%,53.8%,45.9%,0.0%,22.2%,36.1%,50.0%,-38
2023 Tour Finals RR,W vs Rune,36.1%,49.1%,46.2%,43.2%,44.6%,62.2%,53.7%,55.0%,48.6%,51.3%,100.0%,20.0%,23.3%,33.3%,76
2023 Paris F,W vs Dimitrov,45.8%,50.0%,60.0%,49.2%,53.1%,59.4%,60.0%,58.1%,50.0%,28.6%,-,33.3%,33.3%,60.0%,16
2023 Paris SF,W vs Rublev,42.4%,49.2%,49.2%,46.9%,51.9%,59.5%,44.7%,58.7%,60.0%,46.9%,25.0%,26.5%,32.4%,56.0%,115
2023 Paris QF,W vs Rune,36.3%,49.5%,63.0%,42.1%,51.1%,66.0%,65.2%,62.3%,47.8%,45.8%,100.0%,22.5%,35.0%,61.3%,59
2023 Paris R32,W vs Etcheverry,28.8%,42.3%,67.6%,36.9%,43.8%,62.5%,66.7%,56.9%,53.3%,58.8%,-,5.9%,11.8%,68.8%,-63
2023 US Open F,W vs Medvedev,18.3%,33.0%,66.3%,30.7%,26.7%,51.7%,75.0%,49.2%,51.9%,30.3%,50.0%,9.3%,11.6%,56.4%,-28
2023 US Open SF,W vs Shelton,24.2%,35.4%,59.7%,32.8%,27.9%,44.1%,75.5%,40.4%,58.6%,41.0%,50.0%,17.9%,17.9%,26.1%,59
2023 US Open QF,W vs Fritz,21.3%,33.0%,58.0%,29.1%,23.2%,41.1%,60.5%,36.4%,41.4%,37.0%,50.0%,21.2%,24.2%,53.8%,85
2023 US Open R16,W vs Gojo,44.7%,53.9%,61.5%,49.5%,56.9%,68.6%,72.7%,63.9%,60.7%,43.5%,-,22.7%,27.3%,47.1%,102
2023 US Open R32,W vs Djere,34.6%,45.7%,57.1%,41.7%,43.2%,59.3%,63.0%,54.2%,52.3%,51.4%,33.3%,22.5%,25.0%,48.4%,59
