Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2012 Tour Finals RR,W vs Murray,20,33,0.6,11.0%,18.2%,16,33,0.5,9.5%,19.5%,6.5%,3.0%,0.7,13.8%,21.0%
2012 Paris Masters R32,L vs Querrey,29,25,1.2,18.2%,15.7%,24,22,1.1,17.9%,16.4%,9.0%,6.7%,1.3,20.1%,15.1%
2012 Shanghai Masters F,W vs Murray,33,36,0.9,14.2%,15.5%,30,32,0.9,13.8%,14.7%,8.7%,4.6%,0.6,12.9%,21.1%
2012 Shanghai Masters SF,W vs Berdych,22,21,1.0,18.8%,17.9%,17,18,0.9,16.5%,17.5%,10.7%,5.8%,0.6,11.1%,19.7%
2012 Shanghai Masters R32,W vs Dimitrov,15,14,1.1,17.2%,16.1%,9,14,0.6,11.7%,18.2%,9.1%,2.6%,0.3,6.9%,23.0%
2012 Beijing F,W vs Tsonga,16,21,0.8,11.5%,15.1%,16,19,0.8,12.8%,15.2%,8.0%,4.8%,0.7,16.5%,25.2%
2012 US Open F,L vs Murray,40,65,0.6,12.7%,20.6%,33,60,0.6,11.2%,20.4%,,,0.6,9.8%,17.8%
2012 US Open SF,W vs Ferrer,34,31,1.1,17.6%,16.1%,27,30,0.9,14.9%,16.6%,,,0.6,12.4%,20.2%
2012 US Open QF,W vs del Potro,43,28,1.5,20.8%,13.5%,36,26,1.4,19.3%,13.9%,,,0.8,12.1%,15.9%
2012 US Open R16,W vs Wawrinka,23,20,1.2,18.4%,16.0%,19,20,1.0,16.8%,17.7%,,,0.5,11.2%,23.2%
2012 US Open R32,W vs Benneteau,41,12,3.4,28.9%,8.5%,28,9,3.1,23.3%,7.5%,,,0.7,10.6%,15.5%
2012 US Open R64,W vs Dutra Silva,29,14,2.1,19.7%,9.5%,23,13,1.8,16.9%,9.6%,,,0.5,11.6%,24.5%
2012 US Open R128,W vs Lorenzi,32,12,2.7,28.1%,10.5%,25,12,2.1,24.8%,11.9%,,,0.4,8.8%,21.9%
2012 Cincinnati Masters F,L vs Federer,16,22,0.7,13.7%,18.8%,14,17,0.8,13.9%,16.8%,6.9%,2.0%,1.8,26.5%,14.5%
2012 Cincinnati Masters SF,W vs del Potro,13,19,0.7,11.9%,17.4%,7,18,0.4,7.2%,18.6%,5.2%,2.1%,0.4,9.2%,24.8%
2012 Canada Masters F,W vs Gasquet,16,9,1.8,18.2%,10.2%,11,9,1.2,13.9%,11.4%,8.9%,5.1%,0.4,10.2%,23.9%
2012 Canada Masters SF,W vs Tipsarevic,21,24,0.9,16.0%,18.3%,18,21,0.9,14.8%,17.2%,12.3%,2.5%,0.4,9.2%,23.7%
2012 London Olympics BR,L vs del Potro,28,21,1.3,21.1%,15.8%,18,21,0.9,15.3%,17.8%,11.9%,3.4%,1.1,14.3%,13.5%
2012 London Olympics SF,L vs Murray,25,16,1.6,16.4%,10.5%,22,15,1.5,15.5%,10.6%,10.6%,4.9%,1.7,17.1%,9.9%
2012 London Olympics QF,W vs Tsonga,17,18,0.9,13.2%,14.0%,13,18,0.7,10.8%,15.0%,8.3%,2.5%,0.5,11.6%,23.3%
2012 London Olympics R16,W vs Hewitt,41,27,1.5,25.2%,16.6%,25,24,1.0,18.1%,17.4%,10.9%,4.3%,1.0,16.0%,16.0%
2012 London Olympics R32,W vs Roddick,34,9,3.8,41.0%,10.8%,20,9,2.2,31.7%,14.3%,17.5%,14.3%,1.2,14.5%,12.0%
2012 London Olympics R64,W vs Fognini,29,31,0.9,16.5%,17.6%,19,30,0.6,12.0%,19.0%,7.0%,5.1%,0.6,10.8%,17.6%
2012 Wimbledon SF,L vs Federer,28,21,1.3,13.0%,9.7%,19,19,1.0,9.8%,9.8%,,,3.1,14.4%,4.6%
2012 Wimbledon QF,W vs Mayer,50,20,2.5,31.1%,12.4%,43,17,2.5,29.1%,11.5%,,,0.8,8.7%,10.6%
2012 Wimbledon R16,W vs Troicki,31,11,2.8,21.7%,7.7%,27,9,3.0,20.5%,6.8%,,,1.0,10.5%,10.5%
2012 Wimbledon R32,W vs Stepanek,55,14,3.9,23.2%,5.9%,43,13,3.3,20.0%,6.0%,,,1.7,13.1%,7.6%
2012 Wimbledon R64,W vs Harrison,31,15,2.1,17.9%,8.7%,23,14,1.6,15.1%,9.2%,,,2.1,17.3%,8.1%
2012 Wimbledon R128,W vs Ferrero,34,19,1.8,21.7%,12.1%,21,16,1.3,15.3%,11.7%,,,0.9,9.6%,10.2%
2012 Roland Garros F,L vs Nadal,39,53,0.7,16.2%,22.0%,36,49,0.7,15.9%,21.7%,,,1.2,14.1%,12.0%
2012 Roland Garros SF,W vs Federer,27,17,1.6,15.3%,9.6%,21,15,1.4,13.4%,9.6%,,,0.7,18.6%,26.0%
2012 Roland Garros QF,W vs Tsonga,44,34,1.3,13.5%,10.5%,37,32,1.2,12.1%,10.4%,,,0.7,12.3%,18.8%
2012 Roland Garros R16,W vs Seppi,45,77,0.6,12.9%,22.0%,40,75,0.5,12.0%,22.5%,,,0.5,12.3%,23.1%
2012 Roland Garros R32,W vs Devilder,34,28,1.2,23.0%,18.9%,31,28,1.1,22.5%,20.3%,,,0.6,6.8%,10.8%
2012 Roland Garros R64,W vs Kavcic,41,34,1.2,24.4%,20.2%,36,33,1.1,22.6%,20.8%,,,0.8,10.1%,12.5%
2012 Roland Garros R128,W vs Starace,39,19,2.1,21.1%,10.3%,33,19,1.7,18.9%,10.9%,,,0.9,13.5%,14.6%
2012 Rome Masters F,L vs Nadal,21,39,0.5,14.7%,27.3%,20,35,0.6,14.5%,25.4%,11.6%,2.9%,0.8,9.8%,12.6%
2012 Rome Masters SF,W vs Federer,13,17,0.8,9.9%,13.0%,12,16,0.8,9.8%,13.0%,7.3%,2.4%,0.6,16.8%,29.8%
